Address,Company Name,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population,lat,long
81 James St,Bodeguita Deli LLC,-0.1852492211091664,-0.04524736815191293,-0.4642878092167531,-0.2987108752160773,1.0206365390566419,0.2529213113848258,-0.025089684359558894,-0.045444529872439084,-0.1258889694565166,0.4984877117225822,0.06877924636311937,1.0163154704469952,40.805476,-74.1893696
356 Union Ave,LA Nany Mini Market,-1.1867528227305977,-0.04524736815191293,-0.41236341385620556,3.1788113089709795,-0.04340516961897089,-0.37409641304185,-0.025089684359558894,-0.23343927383764862,-0.1258889694565166,-0.10394591823205775,-1.020821182621529,-0.33081199544868906,40.9197287,-74.1873459
295 Route 72 E,Shop-Rite Supermarkets Inc,-2.188256424352029,-0.04524736815191293,-0.4074224784646186,3.0428587955974113,-0.19541112800120206,-0.548268003160371,-0.025089684359558894,0.0404959245116567,-0.33851481770346814,-0.9322921594196877,-0.9589394409025067,0.10321018800627499,39.6869243,-74.2519315
1015 N Wood Ave,E Z Check Food Store,-0.1852492211091664,-0.04524736815191293,-0.4446409381810673,-0.34164324786036193,-1.4114587950590445,0.5315958555744595,-0.025089684359558894,-0.058872725869954054,-0.33851481770346814,0.7244003229555722,0.1328016401818071,-0.07447106989457189,40.6374194,-74.2651121
52 Fadem Rd,SAS Graphic Supply Inc,1.8177579821336962,-0.04524736815191293,1.5547605339854995,-0.32375475925857666,0.2606067471454901,-0.32184493600629366,-0.025089684359558894,-0.672541282956388,2.0863047297914785,0.2725751004895922,0.1328016401818071,-0.07447106989457189,40.6815622,-74.3123712
105 Cedarbridge Ave # C,Center Deli,0.816254380512265,-0.04524736815191293,1.2472676599501993,-0.3595317364621472,1.1726424974388716,0.3574242654559385,-1.3056318801128286,-1.0670616813633778,-0.1258889694565166,-0.6310753444423677,-1.1112380114435005,0.07920234662703533,40.0868805,-74.21073309999998
4344 Tuckahoe Rd,Walt's Grocery,1.8177579821336962,-0.04524736815191293,0.7317256538395965,-0.06258282567251168,0.5646186639099497,-0.548268003160371,-0.025089684359558894,-0.4989361938221155,-0.1258889694565166,-1.0075963631640177,-0.7623999126511916,-1.3152772463628395,39.6461633,-75.01449649999998
900 Easton Ave # 12,KWIK Trip-Somerset,-0.1852492211091664,-0.04524736815191293,-0.30372348780460096,-0.33448785241964785,0.4126127055277199,0.30517278842038215,-0.025089684359558894,-0.11795678825901991,0.8100391340714814,-0.6310753444423677,2.5625665477174504,-1.1238721328169772,40.51026029999999,-74.4851666
172 S Livingston Ave,Quick Mart Food Stores,0.816254380512265,-0.04524736815191293,-0.08405438605781898,-0.34164324786036193,-0.04340516961897089,-0.6876052752551879,-0.025089684359558894,-0.046787349472190584,-0.33851481770346814,-0.48046693695370774,0.06877924636311937,1.0163154704469952,40.7904422,-74.31399820000001
1045a Stuyvesant Ave,Barangay Union Grill-Food Mart,-0.1852492211091664,-0.04524736815191293,-0.4446409381810673,-0.23789001397000736,0.2606067471454901,0.13100119830186108,-0.025089684359558894,-0.058872725869954054,-0.33851481770346814,0.7997045266999022,0.1328016401818071,-0.07447106989457189,40.69703079999999,-74.2681378
402 Rising Sun Rd,Petro Bordentown,-1.1867528227305977,-0.04524736815191293,-0.06747618186085319,6.015925601214124,-0.6514290031478929,-0.548268003160371,-0.025089684359558894,3.812921996320728,-0.1258889694565166,-0.7816837519310277,-0.2805854435696281,-0.6089212305672501,40.1229357,-74.71368609999998
983 State Route 12,Sunset Food Market,0.816254380512265,-0.04524736815191293,0.13858915232741192,-0.3487986433010761,-2.6275064621168873,-1.0011141374685257,-0.025089684359558894,-0.14347036065429833,-0.33851481770346814,-1.3841173818856676,1.5426940596209382,-2.0900807775666355,40.521636,-75.0030167
608 Anderson Ave # 3,Nizam Supermarkets,-1.1867528227305977,-0.04524736815191293,-0.5507197758132342,0.5599365776696159,0.4126127055277199,-0.5831023211840752,-0.025089684359558894,4.7833347508339426,-0.1258889694565166,2.832918027796812,1.3054760209625458,1.675358244521159,40.8251476,-73.98780079999997
168 Maple Ave,Adam's Food Market,0.816254380512265,-0.04524736815191293,0.6244860515757964,0.27372076004105145,0.8686305806744107,-0.7572739113025962,-0.025089684359558894,0.005045487078217187,0.17190633621148277,0.7997045266999022,1.3054760209625458,1.675358244521159,40.8531058,-74.11520990000002
1824 Whitehorse Mercerville Rd,Gsfm Corp,-1.1867528227305977,-0.04524736815191293,-0.23438014036870314,-0.15202526868143804,0.4126127055277199,-0.5831023211840752,-0.025089684359558894,-0.09020339277135597,-0.33851481770346814,-0.40516273320937773,0.2112207761550633,-0.9564354739522012,40.2243441,-74.6879105
303 3rd St,WCRS Quick Mark & Subs,-1.1867528227305977,-0.04524736815191293,-0.4446409381810673,-0.3130216660975055,0.5646186639099497,0.28775562940853006,-0.025089684359558894,-0.058872725869954054,-0.33851481770346814,0.4231835079782522,0.1328016401818071,-0.07447106989457189,40.6561968,-74.1832279
